run_id,stream,file,create_utc,write_utc,bytes
20260714.112046,ForwardRight,000000285500.jpg,2026-07-14T15:30:41.267Z,2026-07-14T15:30:41.267Z,620646
20260714.112046,ForwardRight,000000286000.jpg,2026-07-14T15:30:41.711Z,2026-07-14T15:30:41.711Z,597200
20260714.112046,ForwardRight,000000286500.jpg,2026-07-14T15:30:43.962Z,2026-07-14T15:30:43.967Z,550528
20260714.112046,ForwardRight,000000287000.jpg,2026-07-14T15:30:44.430Z,2026-07-14T15:30:44.435Z,555591
20260714.112046,ForwardRight,000000287500.jpg,2026-07-14T15:30:44.932Z,2026-07-14T15:30:44.932Z,546419
20260714.112046,ForwardRight,000000288000.jpg,2026-07-14T15:30:45.422Z,2026-07-14T15:30:45.427Z,573228
20260714.112046,ForwardRight,000000288500.jpg,2026-07-14T15:30:46.128Z,2026-07-14T15:30:46.129Z,617106
20260714.112046,ForwardRight,000000289000.jpg,2026-07-14T15:30:46.664Z,2026-07-14T15:30:46.664Z,643646
20260714.112046,ForwardRight,000000289500.jpg,2026-07-14T15:30:47.071Z,2026-07-14T15:30:47.071Z,660907
20260714.112046,ForwardRight,000000290000.jpg,2026-07-14T15:30:47.380Z,2026-07-14T15:30:47.384Z,662627
20260714.112046,ForwardRight,000000290500.jpg,2026-07-14T15:30:49.354Z,2026-07-14T15:30:49.356Z,542400
20260714.112046,ForwardRight,000000291000.jpg,2026-07-14T15:30:49.817Z,2026-07-14T15:30:49.817Z,524349
20260714.112046,ForwardRight,000000291500.jpg,2026-07-14T15:30:50.267Z,2026-07-14T15:30:50.272Z,507043
20260714.112046,ForwardRight,000000292000.jpg,2026-07-14T15:30:50.739Z,2026-07-14T15:30:50.739Z,506562
20260714.112046,ForwardRight,000000292500.jpg,2026-07-14T15:30:51.188Z,2026-07-14T15:30:51.188Z,550341
20260714.112046,ForwardRight,000000293000.jpg,2026-07-14T15:30:51.639Z,2026-07-14T15:30:51.639Z,547958
20260714.112046,ForwardRight,000000293500.jpg,2026-07-14T15:30:52.097Z,2026-07-14T15:30:52.097Z,571622
20260714.112046,ForwardRight,000000294000.jpg,2026-07-14T15:30:52.557Z,2026-07-14T15:30:52.561Z,568996
20260714.112046,ForwardRight,000000294500.jpg,2026-07-14T15:30:53.053Z,2026-07-14T15:30:53.059Z,599108
20260714.112046,ForwardRight,000000295000.jpg,2026-07-14T15:30:53.557Z,2026-07-14T15:30:53.557Z,607071
20260714.112046,ForwardRight,000000295500.jpg,2026-07-14T15:30:56.914Z,2026-07-14T15:30:56.919Z,646603
20260714.112046,ForwardRight,000000296000.jpg,2026-07-14T15:30:57.414Z,2026-07-14T15:30:57.416Z,651672
